embora;e@ntre@ta@nto@
no entanto;pa@ra@ ta@nto@
todavia;a@ssi@m
contudo;o@u@tro@ssi@m
apesar;u@ma@ ve@z qu@e@ 
deixar;a@ba@ndo@na@r
busca;pe@rse@gu@i@ção@
como;co@nfo@rme@
condicao;no@ co@ndi@ci@o@na@me@nto@ de@
conformidade;na@ a@de@qu@a@ção@ 
acontece;o@co@rre@
alinhar;e@ndi@re@i@ta@r
alinhamento;co@ndu@ta@
apresentar;mo@stra@r 
a proposito;a@ssi@m po@r di@a@nte@
havia;ti@nha@
ha;te@m
haver;co@nte@r
haverao;te@rão@ 
havido;te@ndo@ si@do@
busca;pro@cu@ra@
conter;po@ssu@i@r
crescer;a@u@me@nta@r
aumento;cre@sci@me@nto@
desta;ne@ssa@
daquela;na@qu@e@la@ 
de acordo com;e@m co@nfo@rmi@da@de@ co@m
de modo que;de@ pra@xe@ qu@e@
alias;o@u@tro@ssi@m
alem;de@po@i@s 
adequar;re@fa@ze@r
adequacao;to@rna@r a@de@qu@a@do@ a@
atencao;vi@slu@mbre@
afazer;ta@re@fa@ 
adiante;e@m di@a@nte@
atrasado;de@po@i@s da@ ho@ra@
adiantado;a@nte@ci@pa@da@me@nte@ 
administracao;e@spa@nto@
antes;a@nti@ga@me@nte@
aceito;co@nco@rda@do@
antecipadamente;pre@vi@a@me@nte@
acontecer;tra@nsco@rre@r
adoecer;fi@ca@r do@e@nte@
organizar;da@r o@rga@ni@za@ção@ 
obedece;te@m o@be@di@ênci@a@ a@ 
calar;fe@cha@r a@ bo@ca@
controlar;e@xe@rce@r o@ co@ntro@le@ de@ 
situacao;o@ca@si@ão@ 
sentir;te@r se@nti@me@nto@ a@
sofrer;pe@na@r
abastecer;e@nche@r
algum;u@m qu@a@lqu@e@r
algo;qu@a@lqu@e@r co@i@sa@
alguma;da@lgu@ns
apelar;fa@ze@r a@pe@la@ção@ a@
admirar;te@r a@dmi@ra@ção@ a@
admirado;e@spa@nta@do@
assimilar;su@btra@i@r
assimilacao;su@btra@ção@ 
assessorar;a@ju@da@r 
aceitar;da@r a@ce@i@ta@ção@
condicionar;da@r co@ndi@ção@ a@
construcao;e@di@fi@ca@ção@ 
certeza;a@fi@rma@ti@va@
conhecer;pe@rce@be@r 
clamar;pe@di@r
chamar;i@nvo@ca@r
chamada;i@nvo@ca@ção@ 
considera;a@te@nta@
consideracao;pe@rti@nênci@a@
comunicar;a@nu@nci@a@r qu@e@
comunicacao;vi@ncu@la@ção@ 
chegada;vi@nda@
cheio;re@ple@to@
completo;ce@rto@
completar;te@rmi@na@r 
concentrar;vi@sa@r
conceber;da@r ca@bo@
